Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Galician,11,negro,branco,vermella,amarela,azul,verde,marrón,rosa,laranja,grises,púrpura,,,,,,,,,,,,,,
German,11,schwarz,weiß,rot,gelb,blau,grün,braun,rosa,orange,grau,lila,,,,,,,,,,,,,,
Hausa,11,bak̑ī,farī,jā,rawaya,shuɗī,algashi,mai ruwan k'asa,ja-ja,mai ruwan lemo,mai ruwan toka-toka,launin jar garura,,,,,,,,,,,,,,
Hawaiian,11,‘ele’ele,ke’oke’o,"‘ula’ula
wena",melemele,uliuli,‘ooma’oma’o,palaunu,‘aakala,‘aalani,‘aahinahina,poni,,,,,,,,,,,,,,
Hindi,11,काला,सफेद,लाल,पीला,नीला,हरा,भूरा,गुलाबी,नारंगी,,बैंगनी,,,,,केसर,,,,,,,,,
Hmong,11,xim dub,xim dawb,xim liab,xim daj,xim xiav,xim ntsuab,xim kas fes,xim liab damb muag,xim maj kiab,xim txho,xim paj yeeb,,,,,,,,,,,,,,
Icelandic,11,svartur,hvítur,rauður,gulur,blár,grænn,brúnn,bleikur,appelsínugulur,grár,fjólublár,,,,,,,,,,,,,,
Ido,11,nigra,blanka,reda,flava,blua,verda,bruna,rozea,oranjea,griza,purpura,,,,,,,,,,,,,,
Indonesian,11,hitam,putih,merah,kuning,biru,hijau,coklat,merah muda,oranye,abu abu,ungu,,,,,,,,,,,,,,
Interlingua,11,nigre,albe,rubie,jalne,blau,verde,brun,rosate,orange,gris,purpuree,,,,,,,,,,,,,,
Italian,11,nero,bianco,rosso,giallo,,verde,marrone,rosa,arancione,grigio,viola,azzurro,,,,,,,,,,,,,
Kannada,11,ಕಪ್ಪು,ಬಿಳಿ,ಕೆಂಪು,ಹಳದಿ,ನೀಲಿ,ಹಸಿರು,ಕಂದು,ಗುಲಾಬಿಬಣ್ಣ,ಕಿತ್ತಳೆಬಣ್ಣ,ಬೆಳ್ಳಿ,ನೇರಲೆಬಣ್ಣ,,,,,,,,,,,,,,
Kapampangan,11,matuling,maputi,malutu,culul ebun,asul,berdi,culul chuclati,rosas,culul salmon,culul abu,culul ubi,,,,,,,,,,,,,,
Latvian,11,melns,balts,sarkans,dzeltens,zils,zaļš,brūns,rozā,oranžs,pelēks,purpursarkana,,,,,,,,,,,,,,
Lithuanian,11,juoda,balta,raudona,geltona,mėlyna,žalia,ruda,rožinė,oranžinė,pilka,violetinė,,,,,,,,,,,,,,
Lombard,11,négher,bianch,ros,zald,blö,verd,"marú
maron",roza,aranciú,gris,viola,,,,,,,,,,,,,,
Luxembourgish,11,schwaarz,wäiss,rout,giel,blo,gréng,brong,rosa,orange,gro,mof,,,,,,,,,,,,,,
Macedonian,11,црн,бел,црвен,жолт,син,зелен,кафеав,розев,портокалов,сив,виолетов,,,,,,,,,,,,,,
Malay,11,hitam,putih,merah,kuning,biru,hijau,warna perang,merah jambu,warna oren,kelabu,ungu,,,,,,,,,,,,,,
Malayalam,11,കറപ്പു,വെളുപ്പു,ചെമപ്പു,മഞ,നീല,പച്ച,കാക്കി,പാടലവര്‍ണ്ണം,കിര്‍മ്മീരം,ചാരനിറമാ,ഊത,,,,,,,,,,,,,,
Norwegian,11,svart,hvit,rød,gul,blå,grønn,brun,rosa,oransje,grå,lilla,,,,,,,,,,,,,,
Occitan,11,negre,blanc,roge,jaune,blau,verd,brun,ròse,irange,gris,violet/a,,,,,,,,,,,,,,
Otomi,11,mboi,t'axi,theni,k'ast'í,íxki,k'angí,"dëjü
möxo",noxa,nanxa,bospí,kuhu,,,,,,,,,,,,,,
"Persian
(Farsi)",11,سياه,سفيد,قرمز,زرد,آبى,سبز,قهوه ای,صورتی,نارنجی,خاکستری,بنفش,,,,,,,,,,,,,,
Portuguese,11,preto,branco,vermelho,amarelo,azul,verde,marrom,rosa,laranja,cinza,roxo,,,,,,,,,,,,,,
Punjabi,11,ਕਾਲਾ,ਚਿੱਟੇ,ਲਾਲ,ਪੀਲੇ,ਨੀਲਾ,ਹਰੇ,ਭੂਰਾ,ਗੁਲਾਬੀ,ਸੰਤਰੀ,ਸਲੇਟੀ,ਜਾਮਨੀ,,,,,,,,,,,,,,
Romanian,11,negru,alb,rosu,galben,albastru,verde,maro,roz,portocaliu,gri,violet,,,,,,,,,,,,,,
"Romansh
(Grischun)",11,alaussa,alv,cotschen,mellen,blau,verd,brin,rosa,oranscha,grisch,violet,,,,,,,,,,,,,,
Sinhala,11,කළු,සුදු,රතු,කහ,නිල්,කොළ,දුඹුරු,රෝස,තැඹිලි,අළු,දම්,,,,,,,,,,,,,,
Slovak,11,čierna,biela,červená,žltá,modrá,zelená,hnedá,ružová,oranžová,šedá,fialová,,,,,,,,,,,,,,
Slovenian,11,črna,bela,rdeča,rumena,modra,zelena,rjava,roza,oranžna,siva,vijolična,,,,,,,,,,,,,,
Spanish,11,negro,blanco,rojo,amarillo,azul,verde,café,rosa,naranja,gris,púrpura,,,,,,,,,,,,,,
Sranan,11,blaka,weit,redi,geri,blaw,grun,broin,lekti redi,ólenisi,kulei,lila,,,,,,,,,,,,,,
Swedish,11,svart,vit,röd,gul,blå,grön,brun,skär,orange,grå,violett,,,,,,,,,,,,,,
Tamil,11,கருப்பு,வெள்ளை,சிவப்பு,மஞ்சள்,நீலம்,பச்சை,கபிலம்,இளஞ்சிவப்பு,செம்மஞ்சள்,நரை நிறம்,ஊதா,,,,,,,,,,,,,,
Thai,11,สีดำ,สีขาว,สีแดง,สีเหลือง,สีฟ้า,สีเขียว,สีน้ำตาล,สีชมพู,สีส้ม,สีเทา,สีม่วง,,,,,,,,,,,,,,
Tok Pisin,11,blak,wait,ret,yelo,blu,grin,braun,pink,orange,gre,hap ret,,,,,,,,,,,,,,
Tongan,11,‘uli‘uli,hinehina,kulokula,engeenga,pulū,mata,melomelo,pingikī,moli,tukumisi,vāleti,,,,,,,,,,,,,,
Ukrainian,11,чорний,бiлий,червоний,жовтий,синiй,зелений,коричневий,рожевий,помаранчевий,сірий,бузковий,,,,,,,,,,,,,,
Urdu,11,كالا,سفيد,سرخ,پیلا,نيلا,هرا,بھورا,گلابى,مالٹا,سلیٹی,جامنی,,,,,,,,,,,,,,
Uzbek,11,қора,оқ,қизил,сариқ,кўк,яшил,гўлос,қизғиш,тўқ сариқ,кул ранг,бинафша ранг,,,,,,,,,,,,,,
Volapük,11,blägik,vietik,redik,yelovik,blövik,grünik,braunik,redülik,rojanik,gedik,purpurpik,,,,,,,,,,,,,,
Võro,11,must,valgõ,verrev,kõllanõ,sinine,rohilinõ,pruuń,roosa,pihlõnõ,hall',lilla,,,,,,,,,,,,,,
Yiddish,11,שוואַרץ,ווײַס,רויט,געל,בלאָ,גרין,ברוין,ראָז,מאַראַנץ,גרוי,לילאַ,,,,,,,,,,,,,,
Finnish,12,musta,valkoinen,punainen,keltainen,sininen,vihreä,ruskea,pinkki,oranssi,harmaa,purppura,,,,,,,,,,,,,,turkoosi
Georgian,12,შავი,თეთრი,წითელი,ყვითელი,,მწვანე,ყავისფერი,ვარდისფერი,ნარინჯისფერი,ნაცრისფერი,იისფერი,ცისფერი,ლურჯი,,,,,,,,,,,,
Greek,12,μαύρο,άσπρο,κόκκινο,κίτρινο,,πράσινο,καφέ,ροζ,πορτοκαλί,γκρι,μοβ,γαλάζιο,μπλε,,,,,,,,,,,,
Gujarati,12,કાળો,સફેદ,લાલ,પીળો,,લીલો,બદામી,ગુલાબી,નારંગી,ભૂખરો,જાંબલી,વાદળી,ભૂરો,,,,,,,,,,,,
Hebrew,12,שחור,לבן,אדום,צהוב,כחול,ירוק,חום,ורוד,כתום,אפור,סגול,תכלת,,,,,,,,,,,,,
Hungarian,12,fekete,fehér,,sárga,kék,zöld,barna,rózsaszín,narancssárga,szürke,lila,,,piros,bordó,,,,,,,,,,
Japanese,12,黒,白,赤,黄,ブリュー,緑,茶色,桃色,オレンジ,灰色,紫,,,,,,,,,,,鼡色,,,
Korean,12,검은색,하얀색,빨간색,노란색,파란색,,갈색,분홍색,오렌지색,회색,보라색,,,,,,,,연두색,녹색,,,,,
Lakota,12,sápa,ská,šá,zí,tɦó,tɦózi,ǧí,šásaŋ,zíša,ɦóta,tɦóša,,,,,,,,,,sáŋ,,,,
Maranao,12,maitem,mapotiq,kanaoai,binaning,biro,gadong,,kalas,korit,logem,inampai,,,,,,limba,kintem,,,,,,,
Mongolian,12,хар,цагаан,улаан,шар,,ногоон,хүрэн,ягаан,улбар шар,саарал,ягаан хөх,цэнхэр,хѳх,,,,,,,,,,,,
Russian,12,чёрный,белый,красный,жёлтый,,зелёный,коричневый,розовый,оранжевый,серый,фиолетовый,голубой,синий,,,,,,,,,,,,
Serbian,12,Црн,Бео,Црвен,Жут,Плав,Зелен,Браон,Ружичаст,Наранџаст,Сив,Љубичаст,,,,,,,Смеђ,,,,,,,
Turkish,12,siyah,beyaz,kırmızı,sarı,mavi,yeşil,kahve rengi,pembe,turuncu,gri,mor,,lacivert,,,,,,,,,,,,
Kashubian,13,czôrny,biôłi,czerwiôny,żôłti,,zelony,bruny,różewi,apfelzynowi,szari,,mòdri,granatny,,,,,,,,,,lilewi,pùrpùrny,
Māori,13,mangu,taitea,kura,kōwhai,purū,kikorangi,parāone,pūwhero-mā,karaka,kiwikiwi,pāpura,,,,,,,,kahurangi,uriuri,,,,,
Polish,13,czarny,biały,czerwony,żółty,niebieski,zielony,brązowy,różowy,pomarańczowy,szary,fioletowy,błękitny,granatowy,,,,,,,,,,,,
