Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Páez,5,khũč,čihme,beh,lem,c̄ẽy,c̄ẽy,,,,,,,,,,,,,,,,,,,
Pitta Pitta,5,tympa,warrhaputha,kurrhi~,parrhu~,tympa,kalyirrhka,,,,,,,,,,,,,,,,,,,
Puinave,5,-pik,-bək,-kət,-hut,-ãk,-ãk,,,,,,,,,,,,,,,,,,,
Qawesqar,5,semen,aḳyefḳyar,ḳyeyero,tˀel,arḳʰa,arḳʰa,,,,,,,,,,,,,,,,,,,
Quiché,5,q̣eq,səq,kaq,q̣ən,rəš,rəš,,,,,,,,,,,,,,,,,,,
Sei,5,kōpoɬ,kōχp,čēɬ,emasoɬ,koiɬ,koiɬ,,,,,,,,,,,,,,,,,,,
Selkup,5,šʸæḳɨ,sər̃ɨ,nʸar̃ḳɨ,patɨlʸ,nor̃ælʸ,patɨlʸ,,,,,,,,,,,,,,,,,,,
Sepedi,5,so,tšhweu,hwibidu,sehla,tala,,,,,,,,,,,,,,,,,,,,
Tausug,5,ʔitum,putiʔ,pulah,bianiŋ,gadduŋ,gadduŋ,,,,,,,,,,,,,,,,,,,
Waorani,5,b̶ɩ̨ntamų,nąmæ̨nta,opatawæ̨,itækad’æ̨,mįntad’æ̨,mįntad’æ̨,,,,,,,,,,,,,,,,,,,
Wapishana,5,pʰudidi-ʔu,ʾbarakʰa-ʔu,wɨẓa-ʔu,kʰidau-ʔu,kʰuʔuri-ʔu,kʰuʔuri-ʔu,,,,,,,,,,,,,,,,,,,
Wayampi,5,piyũ,sĩ,pilã,tawa,sɔ̃wĩ,,,,,,,,,,,,,,,,,,,,
Yakut,5,xara,ürüŋ,kɪhɪl,araɣas,küöx,küöx,,,,,,,,,,,,,,,,,,,
Yaruro,5,burɛ-burɛ-a,bɛrɛ-bɛrɛ-a,koɛ-koɛ-a,koɛ-koɛ-a,tɔ-tɔ-a,čʰã-čʰã,,,,,,,,,,,,,,,,,,,
Achuar-Shiwiar,6,šuwín,puhu,kapántin,yaŋkú,wiŋkiá,samék,,,,,,,,,,,,,,,,,,,
Achumawi,6,hookíci,tiwici,taxtaxi,makmaki,samtal,misuqadi,,,,,,,,,,,,,,,,,,,
Aguaruna,6,bukúsea,čamig,kapantu,yagkú,wigka,samékbau,,,,,,,,,,,,,,,,,,,
Alabama,6,locha,hatka,homma,laana,okchakko,okchakko,laana,,,istokhatka,,,,,,,,,,,,,,,
"Aleut
(Western)",6,qaxchikdax̂,quhmax̂,uluudakux̂,chumnugix̂,chidĝix̂,chidĝaayux̂,,,,,,,,,,,,,,,,,,,
Andi,6,beč̣edir,hac̣a,hiri,čakːu,xoči,ḳodoḷiboso,,,,,,,,,,,,,,,,,,,
